Southern Miss,79,Southern N.O.,69
Incarnate Word,87,SW Univ TX,71
Hawaii Pacific,65,AK Anchorage,51
Anderson SC,92,S Wesleyan,75
Angelo St,86,Col Springs,74
Arkansas-FS,88,Midwest TX St,74
Arkansas Tech,114,MN Crookston,105
Ark Monticello,97,Concordia SP,88
Ashland,73,Lake Erie,58
Bloomfield,85,Assumption,71
Augusta,76,Mt Olive,75
Azusa Pacific,70,UC San Diego,62
Young Harris,84,Barton,75
Bellarmine,83,Saginaw Val,75
Belmont Abbey,92,Mars Hill,83
Bowie St,79,Shepherd,71
Cal Baptist,83,CS Dom. Hills,78
Cal St-LA,60,Holy Names,49
Newman,87,Cameron,85
Carson-Newman,82,Lander,78
Francis Marion,72,Catawba,70
Chr Brothers,74,Central St OH,50
Texas A&M Intl,72,Chadron St,64
West Liberty,139,Cheyney St,63
W Salem St,111,Clarion,95
Clark Atlanta,106,Rollins,103
C Missouri,76,MN Duluth,60
C Oklahoma,78,SE Oklahoma,51
Dallas Bap,89,Colorado Chr,58
Colorado Mines,82,Lubbock Chr,78
Concord,82,Fayetteville St,75
Concordia CA,82,CS Chico,78
Concordia OR,88,CS Monterey Bay,85
CS Poly Pomona,79,Dixie St,75
CS San Bern.,81,C Washington,62
MT St-Billings,74,CSU East Bay,72
CSU-Pueblo,84,Rogers St,65
Univ Sciences,63,CW Post,54
Daemen,62,Felician,57
Eckerd,61,Delta St,55
Eliz. City St,85,UVA-Wise,68
Embry-Riddle FL,92,Mississippi Col,73
Sioux Falls,94,Emporia St,89
Fairmont St,86,St Augustine's,63
Ferris St,75,Quincy,60
Morehouse,87,Florida Tech,82
West Alabama,85,FL Southern,78
Fort Hays St,85,SW Minnesota,66
St Martin's,95,Fresno Pacific,79
Wheeling Jesuit,81,Gannon,74
Queens NC,89,Georgia C&S,53
Henderson St,93,Moorhead St,80
Hillsdale,77,S Indiana,70
Malone,74,IL Springfield,54
Indiana PA,93,Urbana,60
Northwood MI,73,Indianapolis,71
JC Smith,81,WV State,78
King TN,101,Tusculum,94
Lincoln Mem,100,Lees-McRae,80
LeMoyne-Owen,60,Shorter,52
Limestone,87,Wingate,74
SW Oklahoma,80,Lincoln MO,78
Virginia Union,72,Lock Haven,69
St Edward's,100,Mesa St,92
Tarleton St,89,Metro St,78
Millersville,107,Notre Dame OH,99
Minot St,84,S Arkansas,70
Pittsburg St,90,MN Mankato,80
St Cloud,76,MO Southern,70
Winona St,71,MO Western,67
NW Oklahoma St,61,NE Oklahoma,50
Northern St SD,69,Washburn,57
W Washington,87,Notre Dame CA,45
NW Missouri,89,Upper Iowa,65
Roberts Wslyn,67,Nyack,60
NYIT,81,Wilmington DE,76
Tiffin,71,OH Dominican,67
OK Baptist,88,SW Baptist,73
TX A&M Commerce,70,Oklahoma Chr,61
Permian Basin,89,Western St CO,79
Virginia St,79,Pitt-Johnstown,75
Regis CO,83,St Mary's TX,82
TX A&M K'ville,71,S Dakota Tech,53
Sonoma St,100,Seattle Pacific,93
Shippensburg,65,Shaw NC,53
Lincoln PA,93,Bluefield VA,71
James Madison,80,Bridgewater VA,50
Wm Jewell,87,Davenport,68
New Mexico St,81,East Central OK,55
Fresno St,96,UC Santa Cruz,65
Simon Fraser,87,Hawaii Hilo,75
Stetson,98,Webber,89
WI Milwaukee,83,WI LaCrosse,73
Seton Hill,85,Charleston WV,77
North Greenville,92,Coker,84
CS Stanislaus,62,Dominican CA,60
Newberry,71,Erskine,56
NC Pembroke,62,Lenoir Rhyne,57
Chaminade,71,AK Fairbanks,58
Benedict,86,Montevallo,74
Rockhurst,88,Purdue Northwest,78
Queens NY,78,Chestnut Hill,56
MO St Louis,64,Grand Valley St,62
Palm Beach Atl,110,Paine,73
North Georgia,102,Emmanuel GA,92
Claflin,91,Auburn M'gomery,59
S Francisco St,72,Academy of Art,65
Lindenwood,74,Bemidji St,63
Dominican NY,86,Stonehill,83
W Texas A&M,90,Adams St,69
W Oregon,70,Point Loma,69
Union TN,59,Spring Hill,54
Drury,107,Ottawa KS,57
NE Kearney,71,Wayne St NE,66
North Texas,122,Eureka,65
Florida Intl,70,FL Memorial,47
Tennessee Tech,94,Midway,56
Delaware St,71,Cairn,50
Radford,72,Georgia SW,63
SE Missouri St,81,MO Baptist,69
TAM C. Christi,69,Our Lady Lake,68
CS San Marcos,84,Biola,57
Wayland,97,McMurry,68
Nova SE,116,Florida National,92
Southern Nazarene,69,Southwestern KS,55
NW Nazarene,93,Multnomah Bib,74
Westminster UT,80,J&W CO,58
Texas A&M,88,West Virginia,65
UCLA,63,Georgia Tech,60
Akron,67,Cleveland St,57
Appalachian St,135,Toccoa Falls,34
Brown,106,J&W RI,78
Buffalo,80,Canisius,75
Duke,99,Utah Valley,69
Duquesne,80,St Francis NY,70
Elon,96,Peace,53
Fairfield,80,Penn,72
La Salle,61,St Peter's,40
Lehigh,84,Marist,76
Michigan,86,North Florida,66
UNC Wilmington,105,NC Wesleyan,81
Ohio,61,Alabama A&M,53
Presbyterian,107,Johnson TN,87
Toledo,98,St Joseph's PA,87
W Michigan,103,Siena Hts,72
Kent,111,Youngstown St,78
Quinnipiac,78,Dartmouth,77
Wagner,60,NJIT,49
SF Austin,74,Longwood,61
FL Gulf Coast,98,Illinois St,87
Bradley,68,IUPUI,53
Notre Dame,72,DePaul,58
Drake,101,Coe,54
Nebraska,72,E Illinois,68
Sam Houston St,91,UT Tyler,51
UT Arlington,85,Loy Marymount,80
South Dakota,87,Mayville St,59
BYU,91,MS Valley St,61
New Mexico,147,N New Mexico,76
UNLV,108,Florida A&M,66
Portland St,80,Portland,75
UC Santa Barbara,85,N Dakota St,66
St Mary's CA,85,St Francis PA,68
